artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
3LW,No More (Baby I'ma Do Right),"pop, R&B",2000,0.721,0.723,263440,FALSE,,,,,,,,,
Ginuwine,Differences,"hip hop, pop, R&B",2001,0.562,0.594,265533,FALSE,,,,,,,,,
*NSYNC,Gone,pop,2001,0.699,0.403,292000,FALSE,,,,,,,,,
Lifehouse,Hanging By A Moment,"pop, rock, metal",2000,0.537,0.858,216360,FALSE,,,,,,,,,
Nelly,Dilemma,"hip hop, pop, R&B",2002,0.727,0.552,289160,TRUE,,,,,,,,,
Eminem,Without Me,hip hop,2002,0.908,0.669,290320,TRUE,,,,,,,,,
Avril Lavigne,Complicated,pop,2002,0.585,0.776,244506,FALSE,,,,,,,,,
Vanessa Carlton,A Thousand Miles,"Folk/Acoustic, pop",2002,0.56,0.825,237493,FALSE,,,,,,,,,
The Calling,Wherever You Will Go,pop,2001,0.558,0.719,208600,FALSE,,,,,,,,,
Shakira,Underneath Your Clothes,"pop, latin",2001,0.616,0.597,224066,FALSE,,,,,,,,,
No Doubt,Underneath It All,"rock, pop",2001,0.729,0.731,302720,FALSE,,,,,,,,,
Truth Hurts,Addictive,"pop, R&B",2002,0.701,0.677,226440,TRUE,,,,,,,,,
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),"hip hop, pop",2002,0.648,0.759,324306,TRUE,,,,,,,,,
Eminem,'Till I Collapse,hip hop,2002,0.548,0.847,297786,TRUE,,,,,,,,,
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]","hip hop, pop",2004,0.713,0.471,285586,FALSE,,,,,,,,,
Christina Milian,When You Look At Me - Radio Edit,"hip hop, pop, R&B",2001,0.955,0.839,222546,FALSE,,,,,,,,,
Madonna,Die Another Day,pop,2003,0.792,0.797,276360,FALSE,,,,,,,,,
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),"hip hop, pop, R&B",2002,0.718,0.69,172240,FALSE,,,,,,,,,
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),pop,2019,0.583,0.643,244466,FALSE,,,,,,,,,
Linkin Park,In the End,"rock, metal",2000,0.556,0.864,216880,FALSE,,,,,,,,,
